query,cluster,type,n_chars,n_tokens,mean_tok_len,frac_latin,frac_digit,frac_vowel,max_char_run,dict_coverage,mean_edit_dist,oddness
подставка для учебников,7,норма · фраза,23,3,7.0,0.0,0.0,0.38095238095238093,1,1.0,0.0,6.1513918534445455
листья да,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,6.243791779145666
клеевой пистолет,4,норма · удвоенная буква,16,2,7.5,0.0,0.0,0.4,2,1.0,0.0,6.1033816399529055
суперлисенок,2,искажённое слово,12,1,12.0,0.0,0.0,0.4166666666666667,1,0.0,0.4166666666666667,6.114349261317042
лепешк,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.14285714285714285,6.794302399505929
роллы,4,норма · удвоенная буква,5,1,5.0,0.0,0.0,0.4,2,1.0,0.0,5.902492963188827
кофе,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,5.243687673314304
филе гру,9,фраза с искажением,8,2,3.5,0.0,0.0,0.42857142857142855,1,0.5,0.3333333333333333,6.810332002223582
полевые,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.5714285714285714,1,1.0,0.0,5.13905304658533
морк,2,искажённое слово,4,1,4.0,0.0,0.0,0.25,1,0.0,0.2,5.587493153737199
снеговик,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.375,1,1.0,0.0,5.93866268634824
икра скльди,9,фраза с искажением,11,2,5.0,0.0,0.0,0.3,1,0.5,0.16666666666666666,5.973922938486037
таблетки нет,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,5.73504779706392
сосательные конфеты,5,норма · длинные слова,19,2,9.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.472955287994955
evervess ап,10,искажённое слово · вставки/удвоения,11,2,5.0,0.8,0.0,0.5,2,0.5,0.5,6.934886311326562
морской картофель,5,норма · длинные слова,17,2,8.0,0.0,0.0,0.3125,1,1.0,0.0,5.740865283897589
