query,cluster,type,n_chars,n_tokens,mean_tok_len,frac_latin,frac_digit,frac_vowel,max_char_run,dict_coverage,mean_edit_dist,oddness
энергетик без сахара,7,норма · фраза,20,3,6.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,6.8645443097051215
салат из рубца,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,6.21759214690791
барилла,4,норма · удвоенная буква,7,1,7.0,0.0,0.0,0.42857142857142855,2,1.0,0.0,5.836807161761025
краска для волос орех,7,норма · фраза,21,4,4.5,0.0,0.0,0.3888888888888889,1,1.0,0.0,5.884998314763572
творог мя,9,фраза с искажением,9,2,4.0,0.0,0.0,0.375,1,0.5,0.3333333333333333,6.0662376456094655
масло детское,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.243764236702338
холодец э,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.5,1,1.0,0.0,7.480238109059093
чипсы эсте,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,7.373838682378802
следки мужские,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.38461538461538464,1,1.0,0.0,5.866063234962271
котлеты охлажденное,4,норма · удвоенная буква,19,2,9.0,0.0,0.0,0.4444444444444444,2,1.0,0.0,6.125097651779375
палочки шокола,9,фраза с искажением,14,2,6.5,0.0,0.0,0.46153846153846156,1,0.5,0.14285714285714285,5.649689992588462
лапша домашняя,4,норма · удвоенная буква,14,2,6.5,0.0,0.0,0.46153846153846156,2,1.0,0.0,6.565322283266856
поппкорн,10,искажённое слово · вставки/удвоения,8,1,8.0,0.0,0.0,0.25,2,0.0,0.125,6.412865930959629
шоколад протеиновы,5,норма · длинные слова,18,2,8.5,0.0,0.0,0.47058823529411764,1,0.5,0.09090909090909091,6.012648217467919
растров для линз,1,норма · 2 слова,16,3,4.666666666666667,0.0,0.0,0.2857142857142857,1,1.0,0.0,6.451903312252944
duluth,0,латиница,6,1,6.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
черкашин,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.375,1,1.0,0.0,6.236793282175421
корм для котят,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.551428947112304
туал,2,искажённое слово,4,1,4.0,0.0,0.0,0.5,1,0.0,0.3333333333333333,6.307176782714487
бриошь,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.849858798249188
сырок с печенье,1,норма · 2 слова,15,3,4.333333333333333,0.0,0.0,0.38461538461538464,1,1.0,0.0,5.97445724478161
шпинатные,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.711905075657797
свой у,1,норма · 2 слова,6,2,2.5,0.0,0.0,0.4,1,1.0,0.0,7.05236793336057
го овые,9,фраза с искажением,7,2,3.0,0.0,0.0,0.6666666666666666,1,0.5,0.3333333333333333,5.671803818306411
готовая едаз,9,фраза с искажением,12,2,5.5,0.0,0.0,0.5454545454545454,1,0.5,0.25,6.222808028229932
салаты без жира,1,норма · 2 слова,15,3,4.333333333333333,0.0,0.0,0.46153846153846156,1,1.0,0.0,6.119915698831092
круассан самокат,4,норма · удвоенная буква,16,2,7.5,0.0,0.0,0.4,2,1.0,0.0,5.757261295478198
ром до,1,норма · 2 слова,6,2,2.5,0.0,0.0,0.4,1,1.0,0.0,6.68303445652337
творожный сыр сливочное,7,норма · фраза,23,3,7.0,0.0,0.0,0.38095238095238093,1,1.0,0.0,5.64281957532387
пузырчатая пленка,5,норма · длинные слова,17,2,8.0,0.0,0.0,0.4375,1,1.0,0.0,6.684758121092677
тушенка снов,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,5.903402754551078
сгушонная малако,10,искажённое слово · вставки/удвоения,16,2,7.5,0.0,0.0,0.4666666666666667,2,0.0,0.25,6.0197427447650895
вязания,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.5714285714285714,1,1.0,0.0,5.898693734241091
нашуники,2,искажённое слово,8,1,8.0,0.0,0.0,0.5,1,0.0,0.25,6.109536872468507
масло 82,8,запрос с числом,8,1,5.0,0.0,0.25,0.4,1,1.0,0.0,5.468233046144761
розовый и голубой бургер,7,норма · фраза,24,4,5.25,0.0,0.0,0.42857142857142855,1,1.0,0.0,6.866960864114157
grands,0,латиница,6,1,6.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
кока кола а4,1,норма · 2 слова,12,3,3.0,0.0,0.08333333333333333,0.5555555555555556,1,1.0,0.0,5.463120254991429
соломка ка,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.3844707367483675
дрова для мангала,7,норма · фраза,17,3,5.0,0.0,0.0,0.4,1,1.0,0.0,5.8613312947164005
кисломи,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.2222222222222222,5.3522857141641085
форель у,1,норма · 2 слова,8,2,3.5,0.0,0.0,0.42857142857142855,1,1.0,0.0,7.470231110338339
помпа для воды электрическая,7,норма · фраза,28,4,6.25,0.0,0.0,0.44,1,1.0,0.0,6.431453204709612
шима,2,искажённое слово,4,1,4.0,0.0,0.0,0.5,1,0.0,0.4,6.131635915512613
прокладка белла,4,норма · удвоенная буква,15,2,7.0,0.0,0.0,0.35714285714285715,2,1.0,0.0,5.794896954191069
тапки,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.813881347813781
кутба,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.3333333333333333,6.241495237575784
соломкс,2,искажённое слово,7,1,7.0,0.0,0.0,0.2857142857142857,1,0.0,0.14285714285714285,5.864065991611225
но онигири,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.5555555555555556,1,1.0,0.0,5.9185231974697565
помидорки черри,4,норма · удвоенная буква,15,2,7.0,0.0,0.0,0.42857142857142855,2,0.5,0.2,5.963280022430903
кокт,2,искажённое слово,4,1,4.0,0.0,0.0,0.25,1,0.0,0.25,5.199948629924878
капто,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.3333333333333333,5.5623283882081225
тертые,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.5,1,1.0,0.0,5.197317177100693
панировочные сухарики для ка,7,норма · фраза,28,4,6.25,0.0,0.0,0.48,1,1.0,0.0,5.5850348390390625
даниссимо ими,4,норма · удвоенная буква,13,2,6.0,0.0,0.0,0.5,2,1.0,0.0,6.163334310149761
голень,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.647785124998836
пергма,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.3333333333333333,6.412223387231649
сулугуни,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.5,1,1.0,0.0,6.293039222651585
креветки.,3,норма · 1 слово,9,1,8.0,0.0,0.0,0.375,1,1.0,0.0,5.463093354701037
ольхи,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,7.086796320854634
баэ,2,искажённое слово,3,1,3.0,0.0,0.0,0.6666666666666666,1,0.0,0.3333333333333333,8.101306276269174
паук и,1,норма · 2 слова,6,2,2.5,0.0,0.0,0.6,1,1.0,0.0,5.702819484697327
про простуде,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.36363636363636365,1,1.0,0.0,5.4516629494755335
тампоны,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.558291788820934
линзы контактные pure,7,норма · фраза,21,3,6.333333333333333,0.21052631578947367,0.0,0.4,1,1.0,0.0,6.206773735882485
селиконовая смазка,5,норма · длинные слова,18,2,8.5,0.0,0.0,0.47058823529411764,1,0.5,0.09090909090909091,5.429082117554039
сыр маздас,9,фраза с искажением,10,2,4.5,0.0,0.0,0.3333333333333333,1,0.5,0.3333333333333333,5.934668641911985
продукты из беларуси,7,норма · фраза,20,3,6.0,0.0,0.0,0.4444444444444444,1,1.0,0.0,6.262301126777328
куриная,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.5714285714285714,1,1.0,0.0,5.189860307627544
вкусный день,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.2727272727272727,1,1.0,0.0,6.334257682668088
мультизлаков,2,искажённое слово,12,1,12.0,0.0,0.0,0.3333333333333333,1,0.0,0.14285714285714285,6.081111303812061
ростиб,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.2857142857142857,5.893035300346874
улитка  с корицей,4,норма · удвоенная буква,17,3,4.666666666666667,0.0,0.0,0.42857142857142855,2,1.0,0.0,5.6414325808037695
тональный,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.297727453535944
пилки для,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,5.584955016366323
том с авокадо,1,норма · 2 слова,13,3,3.6666666666666665,0.0,0.0,0.45454545454545453,1,1.0,0.0,5.923240030449128
брови,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,5.390228880235475
фрутоняня нв,9,фраза с искажением,12,2,5.5,0.0,0.0,0.36363636363636365,1,0.5,0.5,7.181035067291769
мист,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.25,1,1.0,0.0,5.620723528280353
плову,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,6.430272411025175
вэлком,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.16666666666666666,7.033941652722787
ароматический диффузор,4,норма · удвоенная буква,22,2,10.5,0.0,0.0,0.42857142857142855,2,1.0,0.0,6.583472471512921
rich,0,латиница,4,1,4.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
мармелад для сыра,7,норма · фраза,17,3,5.0,0.0,0.0,0.4,1,1.0,0.0,5.918433718040518
твороженныйсвр,10,искажённое слово · вставки/удвоения,14,1,14.0,0.0,0.0,0.2857142857142857,2,0.0,0.35714285714285715,5.831251901842179
мука и рисовая,1,норма · 2 слова,14,3,4.0,0.0,0.0,0.5833333333333334,1,1.0,0.0,5.70456255383287
шароли,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.3333333333333333,5.3138099235021246
кокороз,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.2857142857142857,5.270350361677719
капсулы для кофемашины,7,норма · фраза,22,3,6.666666666666667,0.0,0.0,0.45,1,1.0,0.0,6.373796693631339
айкос,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.3333333333333333,6.135327420109686
пластиковая лож,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.87246134381764
черри томаты,4,норма · удвоенная буква,12,2,5.5,0.0,0.0,0.45454545454545453,2,1.0,0.0,5.784905167873368
эйогурт,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.14285714285714285,7.277231236918032
эвервеч,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.42857142857142855,7.495911506988017
мини желтки,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,5.992022053447126
женская станки,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.38461538461538464,1,1.0,0.0,5.536369400566473
детский мармелад из фруктов,7,норма · фраза,27,4,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.337793453070943
оргонай,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.375,5.6899874281043665
челночек,3,норма · 1 слово,8,1,8.0,0.0,0.0,0.375,1,1.0,0.0,6.103678477890934
pici,0,латиница,4,1,4.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
сырокопченые колбасы,5,норма · длинные слова,20,2,9.5,0.0,0.0,0.47368421052631576,1,1.0,0.0,5.568511874862845
персик⁸,8,запрос с числом,7,1,6.0,0.0,0.14285714285714285,0.3333333333333333,1,1.0,0.0,5.86615848114279
коль ар,1,норма · 2 слова,7,2,3.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.732004937605289
череизов,2,искажённое слово,8,1,8.0,0.0,0.0,0.5,1,0.0,0.2222222222222222,6.136407403367565
соус майо,9,фраза с искажением,9,2,4.0,0.0,0.0,0.5,1,0.5,0.4,6.195939627280463
крючки д,1,норма · 2 слова,8,2,3.5,0.0,0.0,0.2857142857142857,1,1.0,0.0,7.083626292567118
мацонии,10,искажённое слово · вставки/удвоения,7,1,7.0,0.0,0.0,0.5714285714285714,2,0.0,0.14285714285714285,6.410115103741319
шарики для сти,9,фраза с искажением,14,3,4.0,0.0,0.0,0.4166666666666667,1,0.6666666666666666,0.25,5.6570072942524385
с шпина,9,фраза с искажением,7,2,3.0,0.0,0.0,0.3333333333333333,1,0.5,0.16666666666666666,6.517569712011877
чайлипто,2,искажённое слово,8,1,8.0,0.0,0.0,0.375,1,0.0,0.5,6.5930588380103545
стиральный же,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.0604835496083105
икра искусств,4,норма · удвоенная буква,13,2,6.0,0.0,0.0,0.3333333333333333,2,1.0,0.0,6.127848477419001
сухари без специй,7,норма · фраза,17,3,5.0,0.0,0.0,0.4,1,1.0,0.0,6.636296110152415
вкусное мороженное,4,норма · удвоенная буква,18,2,8.5,0.0,0.0,0.47058823529411764,2,1.0,0.0,5.461550455378664
йогурт exponenta,5,норма · длинные слова,16,2,7.5,0.6,0.0,0.3333333333333333,1,1.0,0.0,6.638349315420155
йошкар олинская тушенка,7,норма · фраза,23,3,7.0,0.0,0.0,0.42857142857142855,1,0.6666666666666666,0.25,5.956164522317403
сыр плавленный для бургеров,4,норма · удвоенная буква,27,4,6.0,0.0,0.0,0.3333333333333333,2,1.0,0.0,6.281768230544607
mac 608,6,код / артикул,7,1,3.0,1.0,0.42857142857142855,0.0,1,1.0,0.0,16.123358179532573
каша дестская,9,фраза с искажением,13,2,6.0,0.0,0.0,0.4166666666666667,1,0.5,0.125,5.468783532315679
клубникю,2,искажённое слово,8,1,8.0,0.0,0.0,0.375,1,0.0,0.125,6.8305890269802205
детская смесь,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.962335884448406
arrive,11,латиница · удвоения,6,1,6.0,1.0,0.0,0.0,2,0.0,0.0,16.123358179532573
клюшка,3,норма · 1 слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.542211034914851
h m,0,латиница,3,2,1.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
прокладки,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.468180335125538
сыр масло,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,5.747210774056072
безлаткозы,2,искажённое слово,10,1,10.0,0.0,0.0,0.4,1,0.0,0.3333333333333333,6.337293007978471
таор,2,искажённое слово,4,1,4.0,0.0,0.0,0.5,1,0.0,0.25,6.391114503229484
щербетмороженное,10,искажённое слово · вставки/удвоения,16,1,16.0,0.0,0.0,0.4375,2,0.0,0.375,6.178742678190596
щетка зубная,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.45454545454545453,1,1.0,0.0,6.280201389160614
ножик канцелярский,5,норма · длинные слова,18,2,8.5,0.0,0.0,0.35294117647058826,1,1.0,0.0,6.12855721173869
копчн,2,искажённое слово,5,1,5.0,0.0,0.0,0.2,1,0.0,0.2857142857142857,5.9407695885540415
cookies,11,латиница · удвоения,7,1,7.0,1.0,0.0,0.0,2,1.0,0.0,16.123358179532573
шапочка,3,норма · 1 слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.847928245022942
brit,0,латиница,4,1,4.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
круасс,10,искажённое слово · вставки/удвоения,6,1,6.0,0.0,0.0,0.3333333333333333,2,0.0,0.25,6.002439589193179
пицца,4,норма · удвоенная буква,5,1,5.0,0.0,0.0,0.4,2,1.0,0.0,6.108668954711276
himalaya herbals,0,латиница,16,2,7.5,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
бутылочки для детей,7,норма · фраза,19,3,5.666666666666667,0.0,0.0,0.4117647058823529,1,1.0,0.0,6.086003405470475
лвйм,2,искажённое слово,4,1,4.0,0.0,0.0,0.0,1,0.0,0.25,9.98173876176768
нагнисы,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.375,6.277575364581283
слоеное дрожжевое тесто,4,норма · удвоенная буква,23,3,7.0,0.0,0.0,0.47619047619047616,2,1.0,0.0,5.79011934749119
из индейка,1,норма · 2 слова,10,2,4.5,0.0,0.0,0.4444444444444444,1,1.0,0.0,5.786945638697544
разветвитель для наушников,7,норма · фраза,26,3,8.0,0.0,0.0,0.375,1,1.0,0.0,6.191157088721983
гру,2,искажённое слово,3,1,3.0,0.0,0.0,0.3333333333333333,1,0.0,0.3333333333333333,6.300344175614921
диета 2,8,запрос с числом,7,1,5.0,0.0,0.14285714285714285,0.6,1,1.0,0.0,5.277812299313625
картофельмялка,5,норма · длинные слова,14,1,14.0,0.0,0.0,0.35714285714285715,1,0.0,0.07142857142857142,6.025130367836949
пшен,2,искажённое слово,4,1,4.0,0.0,0.0,0.25,1,0.0,0.2,6.077152726251699
святой источник манго,7,норма · фраза,21,3,6.333333333333333,0.0,0.0,0.3684210526315789,1,1.0,0.0,6.757665941086765
безлак,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.3333333333333333,6.302531317837318
белорусское сало,4,норма · удвоенная буква,16,2,7.5,0.0,0.0,0.4666666666666667,2,1.0,0.0,5.554424821439478
чароде,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.2857142857142857,5.251891233952525
молочный кофейный напиток,7,норма · фраза,25,3,7.666666666666667,0.0,0.0,0.391304347826087,1,1.0,0.0,5.735919497234832
готовый обед,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.45454545454545453,1,1.0,0.0,5.912860785742296
ложки деревянные,4,норма · удвоенная буква,16,2,7.5,0.0,0.0,0.4666666666666667,2,1.0,0.0,5.848736368309899
пудофф,10,искажённое слово · вставки/удвоения,6,1,6.0,0.0,0.0,0.3333333333333333,2,0.0,0.3333333333333333,7.542278210898461
наушники lighting,5,норма · длинные слова,17,2,8.0,0.5,0.0,0.5,1,1.0,0.0,6.011500866856966
напол,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.375,5.527958854023681
петелиго,2,искажённое слово,8,1,8.0,0.0,0.0,0.5,1,0.0,0.3333333333333333,5.481997512858867
консервативные ананас,5,норма · длинные слова,21,2,10.0,0.0,0.0,0.45,1,1.0,0.0,5.612477602782134
сордел,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.3333333333333333,5.521406017000365
гранд коктейль,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.23076923076923078,1,1.0,0.0,6.001418158569594
поке,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,5.266455358176895
аруассаны,10,искажённое слово · вставки/удвоения,9,1,9.0,0.0,0.0,0.5555555555555556,2,0.0,0.1111111111111111,5.715241651585062
hunters,0,латиница,7,1,7.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
огурец помидоры,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.5,1,1.0,0.0,6.684876663840443
сок апель,9,фраза с искажением,9,2,4.0,0.0,0.0,0.375,1,0.5,0.16666666666666666,5.515436828457671
тмк батон,9,фраза с искажением,9,2,4.0,0.0,0.0,0.25,1,0.5,0.3333333333333333,7.572906760496647
choco,0,латиница,5,1,5.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
тесто лазаньи,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.920384808489042
лабуба,2,искажённое слово,6,1,6.0,0.0,0.0,0.5,1,0.0,0.42857142857142855,5.932192966044566
икрв,2,искажённое слово,4,1,4.0,0.0,0.0,0.25,1,0.0,0.25,5.988654494030109
цветы,3,норма · 1 слово,5,1,5.0,0.0,0.0,0.4,1,1.0,0.0,6.362760988214691
для мытье,1,норма · 2 слова,9,2,4.0,0.0,0.0,0.375,1,1.0,0.0,6.283624674341914
нэнер,2,искажённое слово,5,1,5.0,0.0,0.0,0.4,1,0.0,0.4,6.519552018731823
лук пррей,10,искажённое слово · вставки/удвоения,9,2,4.0,0.0,0.0,0.25,2,0.5,0.2,7.078769630724833
гордфуд,2,искажённое слово,7,1,7.0,0.0,0.0,0.2857142857142857,1,0.0,0.2857142857142857,7.477656638266033
шптка,2,искажённое слово,5,1,5.0,0.0,0.0,0.2,1,0.0,0.3333333333333333,6.520250295343801
лимонад fryst,1,норма · 2 слова,13,2,6.0,0.4166666666666667,0.0,0.42857142857142855,1,0.5,0.0,5.718235947902626
халапеньо с,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,6.360865825745583
стики на ай кос,7,норма · фраза,15,4,3.0,0.0,0.0,0.4166666666666667,1,1.0,0.0,5.878351070955372
sweet touch,11,латиница · удвоения,11,2,5.0,1.0,0.0,0.0,2,1.0,0.0,16.123358179532573
реги,2,искажённое слово,4,1,4.0,0.0,0.0,0.5,1,0.0,0.2,5.916526524018289
act крем,1,норма · 2 слова,8,2,3.5,0.42857142857142855,0.0,0.25,1,1.0,0.0,5.700615455873506
овощи для борща от maggi,7,норма · фраза,24,5,4.0,0.25,0.0,0.4666666666666667,2,1.0,0.0,6.755343414494855
каши,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,5.599503661884222
laroche,0,латиница,7,1,7.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
жесткий диск,1,норма · 2 слова,12,2,5.5,0.0,0.0,0.2727272727272727,1,1.0,0.0,6.367221086093249
сыр,3,норма · 1 слово,3,1,3.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.815402877927328
посудомоечная таблетки,5,норма · длинные слова,22,2,10.5,0.0,0.0,0.47619047619047616,1,1.0,0.0,5.787370296031771
nuts,0,латиница,4,1,4.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
пива ба,1,норма · 2 слова,7,2,3.0,0.0,0.0,0.5,1,1.0,0.0,5.501214452112868
crusty,0,латиница,6,1,6.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
много белки,1,норма · 2 слова,11,2,5.0,0.0,0.0,0.4,1,1.0,0.0,5.699677702318205
было для рук детское,7,норма · фраза,20,4,4.25,0.0,0.0,0.4117647058823529,1,1.0,0.0,6.1868677283931435
limax,0,латиница,5,1,5.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
крылья ципленка,9,фраза с искажением,15,2,7.0,0.0,0.0,0.35714285714285715,1,0.5,0.125,6.222013758054588
чай жасминовый,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.38461538461538464,1,1.0,0.0,6.714678812941655
донисоимо,2,искажённое слово,9,1,9.0,0.0,0.0,0.5555555555555556,1,0.0,0.2222222222222222,6.064622172571072
сантри,2,искажённое слово,6,1,6.0,0.0,0.0,0.3333333333333333,1,0.0,0.16666666666666666,5.392248439995405
морожен эскимо,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.46153846153846156,1,1.0,0.0,5.772122481254669
шампунь mxiti,1,норма · 2 слова,13,2,6.0,0.4166666666666667,0.0,0.2857142857142857,1,0.5,0.0,6.9190871766053
irish whiskey,0,латиница,13,2,6.0,1.0,0.0,0.0,1,1.0,0.0,16.123358179532573
с кешью,1,норма · 2 слова,7,2,3.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,7.300589827673127
цезарь из шоколад,7,норма · фраза,17,3,5.0,0.0,0.0,0.4,1,1.0,0.0,7.0864441936677185
для картофель,1,норма · 2 слова,13,2,6.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.9150634486885
тени,3,норма · 1 слово,4,1,4.0,0.0,0.0,0.5,1,1.0,0.0,5.040252427681187
туалетная ьумагп,9,фраза с искажением,16,2,7.5,0.0,0.0,0.4666666666666667,1,0.5,0.3333333333333333,8.024384896956331
картоыель,2,искажённое слово,9,1,9.0,0.0,0.0,0.4444444444444444,1,0.0,0.1111111111111111,6.368124842941643
вода без газаз,9,фраза с искажением,14,3,4.0,0.0,0.0,0.4166666666666667,1,0.6666666666666666,0.2,6.507396818644434
жигулевск,5,норма · длинные слова,9,1,9.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,6.327316886497711
kinder яйцо,1,норма · 2 слова,11,2,5.0,0.6,0.0,0.5,1,1.0,0.0,7.756097605970423
газиров,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.375,5.761333252737545
одноразовые кульки,5,норма · длинные слова,18,2,8.5,0.0,0.0,0.47058823529411764,1,1.0,0.0,5.714572646000757
я оуассан,10,искажённое слово · вставки/удвоения,9,2,4.0,0.0,0.0,0.625,2,0.5,0.25,7.590502231466041
гранолаэ,2,искажённое слово,8,1,8.0,0.0,0.0,0.5,1,0.0,0.125,6.442319062491849
накладки на соски,7,норма · фраза,17,3,5.0,0.0,0.0,0.4,1,1.0,0.0,5.469325341971012
варено копченая,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.5,1,1.0,0.0,5.3663747302935185
постный майонез,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.35714285714285715,1,1.0,0.0,6.13122764233543
туалетнаябцмага,2,искажённое слово,15,1,15.0,0.0,0.0,0.4666666666666667,1,0.0,0.4,6.9371985625765715
капсулы кофейный,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4,1,1.0,0.0,6.2116587058927255
maltimers,0,латиница,9,1,9.0,1.0,0.0,0.0,1,0.0,0.0,16.123358179532573
стоучко,2,искажённое слово,7,1,7.0,0.0,0.0,0.42857142857142855,1,0.0,0.375,5.783923191961641
сырки но,1,норма · 2 слова,8,2,3.5,0.0,0.0,0.42857142857142855,1,1.0,0.0,5.51911824400281
корица of,1,норма · 2 слова,9,2,4.0,0.25,0.0,0.5,1,1.0,0.0,5.200343200975884
женские серьги,5,норма · длинные слова,14,2,6.5,0.0,0.0,0.38461538461538464,1,1.0,0.0,6.062100076193673
сок 2 0 л,8,запрос с числом,9,2,2.0,0.0,0.2222222222222222,0.25,1,1.0,0.0,5.692412113349668
сыр с плесе,1,норма · 2 слова,11,3,3.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.8299889118258195
филе грудки бройлера,7,норма · фраза,20,3,6.0,0.0,0.0,0.3888888888888889,1,1.0,0.0,6.311213442343153
триммерная головка для хусварн,4,норма · удвоенная буква,30,4,6.75,0.0,0.0,0.37037037037037035,2,0.5,0.36428571428571427,6.22834609391407
влажный корм для кошек для стерилизованных,7,норма · фраза,42,6,6.166666666666667,0.0,0.0,0.35135135135135137,2,1.0,0.0,6.248173942086026
йогург без сахара,9,фраза с искажением,17,3,5.0,0.0,0.0,0.4,1,0.6666666666666666,0.16666666666666666,7.004471020157401
тапочки готовые,5,норма · длинные слова,15,2,7.0,0.0,0.0,0.5,1,1.0,0.0,5.530660986220927
протеиновые,5,норма · длинные слова,11,1,11.0,0.0,0.0,0.5454545454545454,1,1.0,0.0,5.325583937640887
кап,3,норма · 1 слово,3,1,3.0,0.0,0.0,0.3333333333333333,1,1.0,0.0,5.902083830064341
говядина самокат,5,норма · длинные слова,16,2,7.5,0.0,0.0,0.4666666666666667,1,1.0,0.0,5.731035645629319
